OID,Oversight Agency,Operator Name,Location Name,Address,City,State,Postcode,WiFi Dwn,WiFi Up,Wi-Fi Available,Workstation #,Staffed,Mon Open,Mon Close,Mon Open_2,Mon Close_2,Tue Open,Tue Close,Tue Open_2,Tue Close_2,Wed Open,Wed Close,Wed Open_2,Wed Close_2,Thu Open,Thu Close,Thu Open_2,Thu Close_2,Fri Open,Fri Close,Fri Open_2,Fri Close_2,Sat Open,Sat Close,Sat Open_2,Sat Close_2,Sun Open,Sun Close,Language Access,Wheelchair Accessible,Wheelchair Access Notes,OS Accessibility Features,Open Lab Hrs Per Wk,Training  Hours Per Wk,Supplementary Equipment,Device Loaning,Devices Loaned,Access Requirements,Access Notes,URL,BoroCode,Borough,NTA Name
292,Department for the Aging,HAMILTON MADISON HOUSE INC,CITY HALL NEIGHBORHOOD SENIOR CENTER,100 Gold Street,Manhattan,NY,10038,24.0,2.0,True,8,False,8:00 AM,4:30 PM,,,8:00 AM,4:30 PM,,,8:00 AM,4:30 PM,,,8:00 AM,4:30 PM,,,8:00 AM,4:30 PM,,,Closed,Closed,,,Closed,Closed,,Y,,False,42:30:00,5.0,,,,Must be 60+ years of age to access,,https://www.hamiltonmadisonhouse.org/programs.html,1,Manhattan,Battery Park City-Lower Manhattan
131,Brooklyn Public Library,Brooklyn Public Library,McKinley Park,6802 Hamilton Parkway,Brooklyn,NY,11219,10.0,1.0,True,9,True,10:00 AM,6:00 PM,,,10:00 AM,6:00 PM,,,1:00 PM,8:00 PM,,,10:00 AM,8:00 PM,,,10:00 AM,6:00 PM,,,10:00 AM,5:00 PM,,,Closed,Closed,"Language Line phone translation service available. Tablets with Google Translate. Wherever possible multilingual staff are assigned to branches in neighborhoods where their languages are spoken.  Programming available in Cantonese, Mandarin, Spanish.",Y,,True,48:00:00,5.1,"Printer, Photocopier, Scanner",,,All ages; library card required for use of public computers,,https://www.bklynlibrary.org/locations/mckinleypark,3,Brooklyn,Dyker Heights
82,New York Public Library,New York Public Library,Tremont,1866 Washington Avenue,Bronx,NY,10457,200.0,200.0,True,45,True,10:00 AM,7:00 PM,,,10:00 AM,7:00 PM,,,10:00 AM,7:00 PM,,,10:00 AM,7:00 PM,,,10:00 AM,5:00 PM,,,10:00 AM,5:00 PM,,,Closed,Closed,"Branch displays signage in multiple languages.  Reservation and printing software supports both English and Spanish instructions.  Public Windows computers offer the following keyboard input languages:  English, Spanish, Chinese (Simplified), Chinese (Traditional), Russian, Bengali, Vietnamese, French, German, Arabic (101), Italian, Polish (Programmers), Japanese, Albanian, Korean, Hindi, Urdu",Y,,True,50:00:00,4.3,"Printer, Photocopier, Projector",,,All ages; library card required for use of public computers,,https://www.nypl.org/locations/tremont,2,Bronx,Claremont-Bathgate
289,Department for the Aging,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,CCNS WOODHAVEN NEIGHBORHOOD SENIOR C,89-02 92st Street,Queens,NY,11421,17.0,2.0,True,3,False,8:00 AM,4:00 PM,,,8:00 AM,4:00 PM,,,8:00 AM,4:00 PM,,,8:00 AM,4:00 PM,,,8:00 AM,4:00 PM,,,Closed,Closed,,,Closed,Closed,,Y,,True,40:00:00,2.0,,,,Must be 60+ years of age to access,,https://www.ccbq.org/what-we-do/older-adult-services/woodhaven-richmond-hill-senior-center,4,Queens,Woodhaven
466,Department of Youth and Community Development,SCAN,Robinson (Jackie Robinson),110 East 129th Street,Manhattan,NY,10035,100.0,10.0,True,3,False,6:00 PM,11:00 PM,,,6:00 PM,11:00 PM,,,6:00 PM,11:00 PM,,,6:00 PM,11:00 PM,,,6:00 PM,11:00 PM,,,Closed,Closed,,,Closed,Closed,,N,,True,25:00:00,0.0,Printer,,,"Between 3pmand 6pm during the school year, and 8am and 6pm during the summer, access is restricted to youth, ages 5-11.  Other hours are open, but programming may be age-restricted; please contact the center to confirm.  Participants may be required to fill out an application to utilize the computer lab.",,https://www.scanny.org/our-programs/,1,Manhattan,East Harlem North
15,New York Public Library,New York Public Library,Chatham Square,33 East Broadway,New York,NY,10002,1000.0,1000.0,True,58,True,10:00 AM,8:00 PM,,,10:00 AM,8:00 PM,,,10:00 AM,8:00 PM,,,10:00 AM,8:00 PM,,,10:00 AM,5:00 PM,,,10:00 AM,5:00 PM,,,Closed,Closed,"Branch displays signage in multiple languages.  Reservation and printing software supports both English and Spanish instructions.  Public Windows computers offer the following keyboard input languages:  English, Spanish, Chinese (Simplified), Chinese (Traditional), Russian, Bengali, Vietnamese, French, German, Arabic (101), Italian, Polish (Programmers), Japanese, Albanian, Korean, Hindi, Urdu",Y,,True,54:00:00,8.0,"Printer, Photocopier, Projector",,,All ages; library card required for use of public computers,,https://www.nypl.org/locations/chatham-square,1,Manhattan,Chinatown
398,Department for the Aging,SUNSET BAY COMMUNITY SERVICES INC,SUNSET PARK NEIGHBORHOOD SENIOR CENTER,4520 4th Avenue,Brooklyn,NY,11220,93.0,12.0,True,6,False,8:00 AM,4:00 PM,,,8:00 AM,4:00 PM,,,8:00 AM,4:00 PM,,,8:00 AM,4:00 PM,,,8:00 AM,4:00 PM,,,Closed,Closed,,,Closed,Closed,"Bilingual staff, offering assistance in Spanish; programming available in Spanish",Y,,True,40:00:00,1.0,Printer,,,Must be 60+ years of age to access,,https://a125-egovt.nyc.gov/egovt/services/service_detail.cfm?contract__cont_dfta_id=27L01,3,Brooklyn,Sunset Park West
236,Department of Parks and Recreation,Department of Parks and Recreation,Hamilton Fish,128 Pitt Street,New York,NY,10002,28.0,24.0,True,21,True,10:30 AM,6:30 PM,,,10:30 AM,6:30 PM,,,10:30 AM,6:30 PM,,,10:30 AM,6:30 PM,,,10:30 AM,6:30 PM,,,Closed,Closed,,,Closed,Closed,"Signage posted in multiple languages, interpreters available upon request.  Google Chrome language access features available on all workstations.",Y,,True,40:00:00,18.5,"Printer, Instructional Monitor, Cameras, Audio Production",,,All ages; Recreation Center membership required,,https://www.nycgovparks.org/facilities/media-labs,1,Manhattan,Lower East Side
282,Department for the Aging,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,CCNS CATHERINE SHERIDAN NSC,35-24 83rd Street,Queens,NY,11372,7.0,3.0,True,3,False,8:30 AM,4:30 PM,,,8:30 AM,4:30 PM,,,8:30 AM,4:30 PM,,,8:30 AM,4:30 PM,,,8:30 AM,4:30 PM,,,Closed,Closed,,,Closed,Closed,"Bilingual staff, offering assistance in Spanish; programming available in Spanish",Y,,True,40:00:00,1.0,,,,Must be 60+ years of age to access,,https://www.ccbq.org/what-we-do/older-adult-services/catherine-sheridan-senior-center,4,Queens,Jackson Heights
41,New York Public Library,New York Public Library,Kingsbridge,280 West 231st Street,Bronx,NY,10463,50.0,50.0,True,57,True,10:00 AM,8:00 PM,,,10:00 AM,8:00 PM,,,10:00 AM,7:00 PM,,,10:00 AM,7:00 PM,,,10:00 AM,5:00 PM,,,10:00 AM,5:00 PM,,,Closed,Closed,"Branch displays signage in multiple languages.  Reservation and printing software supports both English and Spanish instructions.  Public Windows computers offer the following keyboard input languages:  English, Spanish, Chinese (Simplified), Chinese (Traditional), Russian, Bengali, Vietnamese, French, German, Arabic (101), Italian, Polish (Programmers), Japanese, Albanian, Korean, Hindi, Urdu",Y,,True,52:00:00,4.2,"Printer, Photocopier, Projector",,,All ages; library card required for use of public computers,,https://www.nypl.org/locations/kingsbridge,2,Bronx,Spuyten Duyvil-Kingsbridge
331,Department for the Aging,KOREAN COMMUNITY SERVICES OF METROPOLITAN NEW YORK INC,KCS FLUSHING NEIGHBORHOOD SENIOR CENTER,42-15 166th Street,Queens,NY,11358,94.0,81.0,True,10,False,8:00 AM,5:00 PM,,,8:00 AM,5:00 PM,,,8:00 AM,5:00 PM,,,8:00 AM,5:00 PM,,,8:00 AM,5:00 PM,,,Closed,Closed,,,Closed,Closed,"Bilingual staff, offering assistance in Korean; programming available in Korean",Y,,True,45:00:00,3.0,,,,Must be 60+ years of age to access,,https://www.kcsny.org/en/flushing-senior-center,4,Queens,East Flushing
407,Department for the Aging,University Settlement Society of New York,University Settlement Neighborhood Senior Center,189 Allen Street,Manhattan,NY,10002,161.0,154.0,True,2,False,8:00 AM,4:00 PM,,,8:00 AM,4:00 PM,,,8:00 AM,4:00 PM,,,8:00 AM,4:00 PM,,,8:00 AM,4:00 PM,,,9:00 AM,1:00 PM,,,Closed,Closed,,Y,,True,44:00:00,5.0,,,,Must be 60+ years of age to access,,https://www.universitysettlement.org/us/programs/older_adults/neighborhood_center/,1,Manhattan,Chinatown
150,Brooklyn Public Library,Brooklyn Public Library,Williamsburgh,240 Division Avenue,Brooklyn,NY,11211,7.0,0.7,True,26,True,10:00 AM,6:00 PM,,,1:00 PM,8:00 PM,,,10:00 AM,6:00 PM,,,10:00 AM,8:00 PM,,,10:00 AM,6:00 PM,,,10:00 AM,5:00 PM,,,Closed,Closed,Language Line phone translation service available. Tablets with Google Translate. Wherever possible multilingual staff are assigned to branches in neighborhoods where their languages are spoken.  Programming available in Spanish.,Y,,True,48:00:00,3.1,"Printer, Photocopier, Scanner",,,All ages; library card required for use of public computers,,https://www.bklynlibrary.org/locations/williamsburgh,3,Brooklyn,Williamsburg
414,Department for the Aging,Fort Greene Council,Willoughby Neighborhood Senior Center,105 North Portland Avenue,Brooklyn,NY,11205,11.0,1.0,True,10,False,8:00 AM,4:00 PM,,,8:00 AM,4:00 PM,,,8:00 AM,4:00 PM,,,8:00 AM,4:00 PM,,,8:00 AM,4:00 PM,,,Closed,Closed,,,Closed,Closed,,Y,,True,40:00:00,4.0,"Printer, Projector",,,Must be 60+ years of age to access,,https://www.fortgreenecouncil.org/fgc-nsc,3,Brooklyn,Fort Greene
54,New York Public Library,New York Public Library,New Amsterdam,9 Murray Street,New York,NY,10007,50.0,50.0,True,30,True,10:00 AM,7:00 PM,,,10:00 AM,7:00 PM,,,10:00 AM,7:00 PM,,,10:00 AM,7:00 PM,,,10:00 AM,5:00 PM,,,10:00 AM,5:00 PM,,,Closed,Closed,"Branch displays signage in multiple languages.  Reservation and printing software supports both English and Spanish instructions.  Public Windows computers offer the following keyboard input languages:  English, Spanish, Chinese (Simplified), Chinese (Traditional), Russian, Bengali, Vietnamese, French, German, Arabic (101), Italian, Polish (Programmers), Japanese, Albanian, Korean, Hindi, Urdu",Y,,True,50:00:00,30.9,"Printer, Photocopier, Projector",,,All ages; library card required for use of public computers,May be temporarily closed for renovations; contact the site for most up-to-date information.,https://www.nypl.org/locations/new-amsterdam,1,Manhattan,SoHo-TriBeCa-Civic Center-Little Italy
324,Department for the Aging,CHARLES A WALBURG MULTI SERVICE ORGANIZATION INC,JACKIE ROBINSON NEIGHBORHOOD SENIOR CTR,1301 Amsterdam Avenue,Manhattan,NY,10027,43.0,6.0,True,11,False,8:00 AM,4:00 PM,,,8:00 AM,4:00 PM,,,8:00 AM,4:00 PM,,,8:00 AM,4:00 PM,,,8:00 AM,4:00 PM,,,Closed,Closed,,,Closed,Closed,"Bilingual staff, offering assistance in: Spanish, Mandarin, Cantonese, Bengali, Russian; programming available in Spanish",Y,,True,40:00:00,6.0,Instructional Monitor,,,Must be 60+ years of age to access,,https://a125-egovt.nyc.gov/egovt/services/service_detail.cfm?contract__cont_dfta_id=31T01,1,Manhattan,Morningside Heights
120,Brooklyn Public Library,Brooklyn Public Library,Greenpoint,107 Norman Avenue,Brooklyn,NY,11222,10.0,1.0,True,12,True,10:00 AM,6:00 PM,,,10:00 AM,8:00 PM,,,10:00 AM,8:00 PM,,,10:00 AM,8:00 PM,,,10:00 AM,6:00 PM,,,10:00 AM,5:00 PM,,,Closed,Closed,"Language Line phone translation service available. Tablets with Google Translate. Wherever possible multilingual staff are assigned to branches in neighborhoods where their languages are spoken.  Programming available in Spanish, Polish.",Y,,True,53:00:00,2.8,"Printer, Photocopier, Scanner",,,All ages; library card required for use of public computers,"May be temporarily closed for renovations, and hours listed are approximated; contact the site for up-to-date information.",https://www.bklynlibrary.org/locations/greenpoint,3,Brooklyn,Greenpoint
